video_id,total_time,detection_time,depth_time
video_0001,195.68625378608704,28.605238676071167,166.6125373840332
video_0002,70.90476608276367,11.189756870269775,59.561787843704224
video_0003,71.73443150520325,11.221793174743652,60.30181574821472
video_0004,57.064491748809814,8.597660303115845,48.31294250488281
video_0005,77.44541478157043,12.283527135848999,64.60915493965149
video_0006,103.80166029930115,18.151834964752197,84.4652349948883
video_0007,37.24868559837341,6.913882732391357,30.105825662612915
video_0008,45.53620100021362,7.399449825286865,38.06099271774292
video_0009,35.45021390914917,5.614699363708496,29.769780158996582
video_0010,27.279589414596558,4.648381948471069,22.480050563812256
video_0011,79.53001093864441,12.316606521606445,67.10432291030884
video_0012,36.57335925102234,6.419963359832764,29.987435340881348
video_0013,44.47368574142456,6.87280797958374,37.58725166320801
video_0014,79.63414645195007,12.677606582641602,66.81723260879517
video_0015,124.33402466773987,20.162105560302734,103.84527564048767
video_0016,63.01674032211304,11.356630563735962,51.27737355232239
video_0017,79.23038363456726,12.654857873916626,66.40717625617981
video_0018,114.10075426101685,18.068811655044556,95.9802405834198
video_0019,143.0213348865509,25.05254077911377,117.58209085464478
video_0020,179.45791673660278,43.71974062919617,133.95471215248108
video_0021,53.59420990943909,9.239667654037476,44.23145318031311
video_0022,125.47913098335266,20.060614109039307,105.19822287559509
video_0023,71.58658337593079,12.145557403564453,59.24010229110718
video_0024,62.353013038635254,9.778297185897827,52.5366690158844
video_0025,65.65116143226624,11.773293018341064,53.421642541885376
video_0026,157.13595604896545,25.77186107635498,130.87588381767273
video_0027,46.106196880340576,8.09799337387085,37.75009322166443
video_0028,74.40009713172913,13.598445415496826,60.2864248752594
video_0029,171.76649689674377,27.55907702445984,144.06536889076233
video_0030,55.29514813423157,9.797645568847656,45.30666756629944
video_0031,95.60134720802307,19.840163707733154,74.87001299858093
video_0032,71.23077130317688,11.323479413986206,59.670939922332764
video_0034,144.43298625946045,23.248756408691406,120.85019040107727
video_0035,55.306097745895386,10.014979600906372,45.08114576339722
video_0036,88.93383169174194,13.753631591796875,75.07566595077515
video_0037,91.70551323890686,16.792502641677856,74.40666270256042
video_0038,182.74062609672546,32.132980823516846,149.79120326042175
video_0039,117.89271092414856,24.380311012268066,92.16991925239563
video_0040,72.4966049194336,12.03599214553833,60.293702840805054
video_0041,106.41014003753662,17.138089895248413,89.10254979133606
video_0042,83.06139802932739,14.412790536880493,68.20396161079407
video_0043,136.38195204734802,22.46215319633484,113.64661741256714
video_0044,61.06755018234253,9.589206457138062,51.38770842552185
video_0045,46.39364457130432,7.736176013946533,38.23741292953491
video_0046,63.50465106964111,10.02239441871643,53.394800662994385
video_0047,45.64568471908569,7.465794563293457,38.03166437149048
video_0048,63.661351442337036,9.534599781036377,54.05617308616638
video_0049,84.6012511253357,13.907110691070557,70.41797065734863
video_0050,80.2809464931488,12.604307651519775,67.50639271736145
video_0051,79.93316078186035,11.84078860282898,68.07683181762695
video_0052,90.36422538757324,14.353267431259155,75.78551840782166
video_0053,75.05522084236145,13.075686931610107,61.670987367630005
video_0054,117.63344883918762,25.084226369857788,91.2858190536499
video_0055,63.00514268875122,10.050984621047974,52.84954285621643
video_0056,81.1122395992279,13.870403051376343,67.04843068122864
video_0057,71.826833486557,11.312691926956177,60.403807640075684
video_0058,118.34213399887085,19.762686491012573,98.16178774833679
video_0059,36.47892737388611,6.307407379150391,29.974411010742188
video_0060,61.60681748390198,9.596768140792847,51.92586302757263
video_0061,52.974456787109375,8.643170595169067,44.166574001312256
video_0062,114.89288234710693,18.716580629348755,95.91936254501343
video_0063,54.082481384277344,9.070986270904541,44.771212339401245
video_0064,89.3524432182312,14.069761753082275,75.0014579296112
video_0065,52.754926681518555,8.424720525741577,44.192039489746094
video_0066,94.78183054924011,14.372337579727173,80.31341910362244
video_0067,70.94511008262634,11.893017530441284,58.66843771934509
video_0068,37.80445051193237,5.5947959423065186,32.0942599773407
video_0069,38.252641439437866,5.849917411804199,32.266396284103394
video_0070,55.578529596328735,8.933870792388916,46.41242551803589
video_0071,101.54744458198547,17.684889316558838,83.18391847610474
video_0072,67.99645805358887,14.140032529830933,53.076090574264526
video_0073,37.537580251693726,6.725290060043335,30.594770431518555
video_0075,66.79379916191101,13.846609592437744,52.27024269104004
video_0076,84.0209391117096,15.5970938205719,67.83118319511414
video_0077,53.420689821243286,8.628460168838501,44.62774109840393
video_0078,97.04479908943176,20.472370386123657,75.53182125091553
video_0079,71.82713198661804,11.765538930892944,59.87293100357056
video_0080,86.70038104057312,18.965461015701294,66.79032564163208
video_0081,45.17614817619324,7.614633321762085,37.441219329833984
video_0082,56.11966013908386,10.716410160064697,44.798513412475586
video_0083,77.2869381904602,16.431127309799194,59.817821979522705
video_0084,92.88081741333008,17.023618459701538,75.3577675819397
video_0085,80.8759822845459,13.081947088241577,67.59875893592834
video_0086,53.6763641834259,8.747456789016724,44.848259925842285
video_0087,93.8076012134552,21.520498991012573,70.84296107292175
video_0088,76.2906596660614,15.827357292175293,59.714821338653564
video_0089,107.85859417915344,18.17779016494751,89.30207347869873
video_0090,91.67264652252197,16.287141799926758,74.84174513816833
video_0092,55.02916359901428,9.959815263748169,44.68177270889282
video_0093,89.02225375175476,13.905158758163452,74.96464419364929
video_0094,94.20267701148987,18.970757961273193,74.56090784072876
video_0095,71.43182301521301,11.474451065063477,59.716195821762085
video_0096,76.21767115592957,15.742671489715576,59.742270708084106
video_0097,73.10053157806396,13.29209303855896,59.39488887786865
video_0098,74.24738883972168,14.209387063980103,59.55632972717285
video_0099,55.12278342247009,9.86248254776001,44.868316411972046
video_0100,73.13877582550049,13.278046131134033,59.466068267822266
video_0101,106.15855813026428,16.877854824066162,89.06139636039734
video_0102,113.2733645439148,22.640424966812134,89.35822701454163
video_0103,108.46223735809326,18.467142343521118,89.51314949989319
video_0104,44.61873817443848,7.3376243114471436,37.14391016960144
video_0105,109.27745246887207,18.465505361557007,90.18519258499146
video_0106,55.33054709434509,9.02766752243042,46.10184144973755
video_0107,55.584466218948364,9.554719686508179,45.763999938964844
video_0108,95.73405623435974,18.821141719818115,75.91111588478088
video_0109,111.66998195648193,20.189445972442627,90.5616307258606
video_0110,65.18075227737427,12.336408376693726,52.44573783874512
video_0111,84.28419828414917,16.400490760803223,67.09999966621399
video_0112,73.4764244556427,13.431426763534546,59.57231330871582
video_0113,74.98577833175659,14.863795042037964,59.42715501785278
video_0114,96.7075605392456,20.786012172698975,75.04270243644714
video_0115,138.8362798690796,25.448765993118286,112.3613121509552
video_0116,89.5313048362732,15.243517398834229,74.0826153755188
video_0117,179.29058265686035,29.509846925735474,149.03610920906067
video_0118,74.62282800674438,14.239860534667969,59.752663373947144
video_0119,63.140146017074585,10.653897047042847,52.234596252441406
video_0120,76.99818444252014,15.870081663131714,60.26606726646423
video_0121,106.30630302429199,16.89623522758484,89.13335657119751
video_0122,56.823068618774414,11.193029165267944,44.624173402786255
video_0123,45.97097325325012,8.205509424209595,37.429367542266846
video_0124,141.72701954841614,26.67543363571167,112.68878841400146
video_0125,73.21791005134583,13.681045532226562,59.0615348815918
video_0126,89.10246753692627,14.564005851745605,74.35252237319946
video_0127,109.41447281837463,19.19133448600769,89.66164898872375
video_0128,108.24302554130554,18.36603021621704,89.3482494354248
video_0129,45.47741937637329,8.134100437164307,37.070822954177856
video_0130,44.829368591308594,7.616717100143433,37.073370933532715
video_0131,73.43886709213257,13.468528509140015,59.514318227767944
video_0132,89.8962824344635,15.613667249679565,73.75415134429932
video_0133,63.343364238739014,11.487252235412598,51.44179010391235
video_0134,181.72198700904846,31.91319489479065,148.6609570980072
video_0135,168.4539897441864,37.98178052902222,127.01629328727722
video_0136,75.05654430389404,14.804422378540039,59.343299865722656
video_0137,62.46404314041138,10.75544810295105,51.330514907836914
video_0138,92.64797258377075,17.878255367279053,73.91322207450867
video_0139,62.90949892997742,10.315989255905151,52.245078325271606
video_0140,89.17928576469421,15.35309100151062,73.61586308479309
video_0141,44.8830189704895,7.839216470718384,36.78355598449707
video_0142,89.26770257949829,14.63405466079712,74.45027089118958
video_0143,89.94058632850647,15.502479076385498,74.10992574691772
video_0144,87.04428243637085,18.129998445510864,67.82346987724304
video_0145,96.08980679512024,19.58373498916626,75.40024328231812
video_0146,37.72357773780823,7.59485125541687,29.574501991271973
video_0147,105.9257926940918,17.308371782302856,88.29214406013489
video_0148,26.519428491592407,4.2776570320129395,22.163756370544434
video_0149,92.3292293548584,17.89337182044983,73.72613215446472
video_0150,104.15245318412781,21.622631072998047,81.66550493240356
video_0151,87.24273920059204,18.95920419692993,66.84234762191772
video_0152,108.28261375427246,24.83235764503479,81.91076159477234
video_0153,103.96528506278992,18.70160675048828,84.43490672111511
video_0154,109.64550924301147,22.956624031066895,84.75577282905579
video_0155,63.7356903553009,10.099951267242432,53.3529634475708
video_0156,47.11852979660034,9.21243691444397,37.55430245399475
video_0157,28.495235681533813,5.7173850536346436,22.594826459884644
video_0158,56.49454355239868,10.898435354232788,45.21026635169983
video_0159,75.0607419013977,13.331104040145874,60.29659938812256
video_0160,65.03681468963623,12.208821058273315,52.41494870185852
video_0161,46.038816690444946,8.35360860824585,37.439576387405396
video_0162,36.19447660446167,6.1122589111328125,29.840742349624634
video_0163,69.52974581718445,15.787820816040039,52.719767808914185
video_0164,48.10826778411865,10.153434038162231,37.37112045288086
video_0165,85.92572736740112,17.694018840789795,67.15171766281128
video_0166,62.56139135360718,9.949501037597656,52.45185971260071
video_0167,46.44664025306702,9.041417837142944,36.94469118118286
video_0168,37.81969165802002,7.624615669250488,29.830811262130737
video_0169,56.09335374832153,11.198585987091064,44.38146901130676
video_0170,38.8148295879364,8.350096464157104,30.059152126312256
video_0171,46.8163321018219,9.232690811157227,37.26315975189209
video_0172,53.39970564842224,8.587126016616821,44.48656606674194
video_0173,47.023882150650024,9.465577602386475,37.228877544403076
video_0174,38.22490048408508,8.024891376495361,29.769448280334473
video_0175,46.805694341659546,9.09111213684082,37.32049751281738
video_0176,94.07046675682068,18.751968145370483,74.47506403923035
video_0177,94.52377533912659,19.01440119743347,74.49157810211182
video_0178,75.62391781806946,15.182711362838745,59.665204763412476
video_0179,99.37501549720764,17.144606828689575,81.71170496940613
video_0180,54.200467586517334,9.402565717697144,44.629714488983154
video_0181,26.952873468399048,4.673672199249268,22.181986331939697
video_0182,80.67002964019775,13.926770210266113,66.58885550498962
video_0183,81.74809741973877,14.1632821559906,67.0321717262268
video_0184,91.84986782073975,16.90106201171875,74.30665612220764
video_0185,50.79426646232605,12.944670915603638,36.99630618095398
video_0186,64.86425566673279,12.471226215362549,51.8665931224823
video_0187,72.24248361587524,13.014593124389648,58.8253059387207
video_0188,62.321473598480225,9.806339025497437,52.266841650009155
video_0189,37.18403625488281,7.286360502243042,29.592005968093872
video_0190,112.12162733078003,22.049757480621338,88.88987684249878
video_0191,48.254547357559204,10.786906480789185,36.778822898864746
video_0192,37.37752628326416,7.462170362472534,29.613645553588867
video_0193,71.42676424980164,11.845746755599976,59.33177947998047
video_0194,166.24524307250977,31.777093648910522,132.72113919258118
video_0195,26.750389575958252,4.4785380363464355,22.162420988082886
video_0196,55.97621273994446,10.717541933059692,44.79834866523743
video_0197,71.37793302536011,11.9155752658844,59.143556356430054
video_0198,27.218436002731323,5.001582384109497,22.07856822013855
video_0199,276.2453610897064,45.26261377334595,230.37063121795654
video_0200,45.557724714279175,8.217325210571289,37.09350562095642
video_0201,44.95142364501953,7.828052759170532,36.92817187309265
video_0203,35.629897594451904,6.063439846038818,29.343551635742188
video_0204,45.54503631591797,8.303107023239136,36.96695613861084
video_0206,56.53235960006714,11.328125238418579,44.766221046447754
video_0207,17.966761112213135,3.1410467624664307,14.77702260017395
video_0208,74.3465883731842,14.720911502838135,59.17833065986633
